Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
FALSE,3%,Aus then UK 50%,72 (24 to 109),-219 (-393 to -75),-92 (-225 to 21),-66 (-638 to 701)
FALSE,3%,Aus then UK 70%,59 (-6.7 to 111),-348 (-601 to -146),-171 (-359 to -14),-137 (-939 to 925)
FALSE,3%,Aus then UK 90%,47 (-40 to 114),-478 (-787 to -218),-249 (-483 to -45),"-208 (-1,230 to 1,150)"
FALSE,3%,Aus then UK mandatory,41 (-59 to 115),-539 (-887 to -249),-287 (-546 to -60),"-243 (-1,400 to 1,280)"
FALSE,3%,Australia 50%,83 (22 to 163),-54 (-164 to 51),27 (-56 to 118),-6.3 (-281 to 341)
FALSE,3%,Australia 70%,75 (0.76 to 177),-117 (-260 to 25),-3.2 (-111 to 119),-52 (-431 to 423)
FALSE,3%,Australia 90%,66 (-28 to 193),-181 (-360 to -0.06),-34 (-168 to 118),-93 (-587 to 517)
FALSE,3%,Australia mandatory,62 (-41 to 201),-214 (-411 to -17),-49 (-198 to 119),-117 (-656 to 563)
FALSE,3%,BAU,"-2,720,000 (-2,720,000 to -2,710,000)","-4,540,000 (-4,560,000 to -4,520,000)","-1,820,000 (-1,830,000 to -1,800,000)","-7,400,000 (-7,490,000 to -7,300,000)"
FALSE,3%,KCl subsitute (10%) all foods,Not Available,Not Available,Not Available,Not Available
FALSE,3%,KCl subsitute (30%) envelope,Not Available,Not Available,Not Available,Not Available
FALSE,3%,KCl subsitute (4.5%) discretionary,Not Available,Not Available,Not Available,Not Available
FALSE,3%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
FALSE,3%,UK 50%,24 (-72 to 141),-268 (-495 to -68),-92 (-247 to 67),-102 (-712 to 729)
FALSE,3%,UK 70%,-6.4 (-145 to 146),-418 (-730 to -142),-170 (-385 to 55),"-182 (-1,040 to 973)"
FALSE,3%,UK 90%,-39 (-208 to 156),-564 (-961 to -209),-246 (-518 to 36),"-264 (-1,370 to 1,230)"
FALSE,3%,UK mandatory,-53 (-247 to 160),"-639 (-1,080 to -245)",-285 (-585 to 28),"-305 (-1,530 to 1,320)"
FALSE,3%,UK mass media campaign,0.19 (-21 to 17),-17 (-54 to 8.0),6.2 (-12 to 21),-4.8 (-36 to 16)
FALSE,3%,UK salt reduction program,225 (111 to 421),54 (-113 to 265),150 (11 to 359),72 (-295 to 540)
FALSE,3%,Who mandatory,-154 (-473 to 256),"-1,180 (-1,920 to -569)","-590 (-1,110 to -83)","-949 (-2,940 to 1,400)"
TRUE,0%,Aus then UK 50%,342.9466935,-184.1791726,-0.262568823,3092.581491
TRUE,0%,Aus then UK 70%,317.7370786,-417.9989897,-162.493517,4183.274723
TRUE,0%,Aus then UK 90%,291.8363123,-652.4533026,-326.5977507,5260.76313
TRUE,0%,Aus then UK mandatory,280.3733522,-769.4911506,-405.8065747,5783.760963
TRUE,0%,Australia 50%,365.8802783,117.2190868,231.7603867,1476.715483
TRUE,0%,Australia 70%,348.5582988,1.5723834,163.9524014,1886.647605
TRUE,0%,Australia 90%,331.747008,-115.8799487,94.25941528,2311.817735
TRUE,0%,Australia mandatory,321.5591087,-174.502876,59.14165604,2504.015543
TRUE,0%,BAU,-3608639.458,-6880071.986,-3271432.528,-8301405.263
TRUE,0%,KCl subsitute (10%) all foods,741.6651393,-419.157233,-244.1570396,5865.253952
TRUE,0%,KCl subsitute (30%) envelope,-693.6761903,-4995.303942,-2326.575977,13236.33051
TRUE,0%,KCl subsitute (4.5%) discretionary,339.3389287,-347.7162303,-86.92136234,2872.711133
TRUE,0%,No change,0,0,0,0
TRUE,0%,UK 50%,274.9731128,-257.119205,-0.658457999,3126.290704
TRUE,0%,UK 70%,224.0290657,-518.9998058,-167.4524788,4192.174091
TRUE,0%,UK 90%,172.7895373,-778.1560382,-327.9841296,5210.98791
TRUE,0%,UK mandatory,144.0653713,-911.6256153,-408.9559815,5761.092041
TRUE,0%,UK mass media campaign,-3.85970856,-33.67355245,-0.394502902,11.82667165
TRUE,0%,UK salt reduction program,539.7667464,226.2187579,365.7436007,1735.522693
TRUE,0%,Who mandatory,-29.21774466,-1898.146425,-1046.802831,7321.946137
TRUE,3%,Aus then UK 50%,71.98104518,-218.9907681,-91.94629211,-66.4745304
TRUE,3%,Aus then UK 70%,59.31676283,-347.6278017,-170.8195981,-136.5620632
TRUE,3%,Aus then UK 90%,46.58776021,-477.6967101,-248.9556506,-208.1723925
TRUE,3%,Aus then UK mandatory,40.99337839,-538.5682129,-286.7234821,-243.0250819
TRUE,3%,Australia 50%,83.2490091,-54.17378357,27.19392287,-6.32162323
TRUE,3%,Australia 70%,75.38702618,-116.5617836,-3.183504945,-51.60281116
TRUE,3%,Australia 90%,66.35580193,-181.3236263,-33.79402963,-92.82424343
TRUE,3%,Australia mandatory,62.20570745,-213.5706942,-49.0779572,-117.3834929
TRUE,3%,BAU,-2719115.34,-4536356.704,-1817241.363,-7396854.996
TRUE,3%,KCl subsitute (10%) all foods,85.01466948,-547.236735,-427.4874397,-593.3290557
TRUE,3%,KCl subsitute (30%) envelope,-1422.074416,-3806.693336,-1875.472098,-3648.102539
TRUE,3%,KCl subsitute (4.5%) discretionary,-37.80274299,-417.3479612,-235.5872951,-378.5107494
TRUE,3%,No change,0,0,0,0
TRUE,3%,UK 50%,24.44816384,-268.1303957,-91.62826577,-102.1942324
TRUE,3%,UK 70%,-6.386693416,-417.9102609,-169.7737517,-181.7605127
TRUE,3%,UK 90%,-38.77813065,-564.166228,-245.7579718,-264.4423125
TRUE,3%,UK mandatory,-53.18189436,-638.7057533,-284.9185132,-304.8411526
TRUE,3%,UK mass media campaign,0.190133527,-17.09703872,6.233565524,-4.83980546
TRUE,3%,UK salt reduction program,225.2695012,54.04271856,149.9734747,71.46234671
TRUE,3%,Who mandatory,-153.6554309,-1181.362222,-589.9796248,-948.7881552
