Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,3%,Aus then UK 90%,-51.8 (-122 to 0.193),-334 (-570 to -113),-166 (-338 to 14.0),"755 (-324 to 2,460)"
False,3%,Aus then UK mandatory,-70.9 (-151 to -11.5),-383 (-646 to -139),-196 (-390 to 5.90),"820 (-401 to 2,700)"
False,3%,Australia 50%,58.3 (12.2 to 118),-14.0 (-99.3 to 64.9),45.4 (-19.2 to 116),242 (-26.6 to 644)
False,3%,Australia 70%,34.8 (-18.3 to 96.3),-66.3 (-174 to 33.3),15.9 (-65.8 to 100),288 (-92.7 to 846)
False,3%,Australia 90%,11.5 (-49.4 to 75.5),-119 (-250 to 2.06),-13.6 (-110 to 85.7),"340 (-150 to 1,060)"
False,3%,Australia mandatory,-0.709 (-64.9 to 64.2),-147 (-294 to -10.3),-28.1 (-134 to 79.3),"361 (-170 to 1,160)"
False,3%,BAU,"1,910,000 (1,900,000 to 1,920,000)","3,470,000 (3,430,000 to 3,500,000)","1,560,000 (1,530,000 to 1,580,000)","7,950,000 (7,820,000 to 8,090,000)"
False,3%,KCl subsitute (10%) all foods,-6.91 (-66.8 to 91.4),-375 (-626 to -153),-285 (-492 to -84.8),"780 (-520 to 2,640)"
False,3%,KCl subsitute (30%) envelope,"-1,290 (-1,850 to -880)","-2,410 (-3,630 to -1,400)","-1,120 (-1,880 to -427)","1,290 (-2,860 to 6,750)"
False,3%,KCl subsitute (4.5%) discretionary,-45.8 (-119 to 55.6),-240 (-415 to -65.9),-108 (-238 to 35.2),"407 (-304 to 1,350)"
False,3%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,3%,UK 50%,-12.6 (-83.8 to 56.7),-161 (-325 to -6.50),-32.1 (-147 to 91.0),"474 (-159 to 1,470)"
False,3%,UK 70%,-62.3 (-153 to 20.4),-271 (-493 to -72.2),-91.3 (-247 to 67.8),"612 (-261 to 2,010)"
False,3%,UK 90%,-113 (-226 to -19.4),-382 (-665 to -126),-151 (-346 to 51.8),"755 (-378 to 2,530)"
False,3%,UK mandatory,-139 (-267 to -39.4),-435 (-753 to -148),-181 (-394 to 37.0),"819 (-425 to 2,760)"
False,3%,UK mass media campaign,9.98 (-6.37 to 26.3),5.31 (-17.6 to 24.0),21.5 (9.34 to 36.2),23.4 (4.07 to 43.8)
False,3%,UK salt reduction program,77.1 (27.3 to 137),-9.52 (-106 to 80.9),57.8 (-15.9 to 135),282 (-51.7 to 759)
False,3%,Who mandatory,-312 (-499 to -166),"-854 (-1,350 to -417)",-425 (-761 to -91.8),"929 (-977 to 3,650)"
True,0%,Aus then UK 50%,287.9777463268448,40.05569116988039,157.6909505469668,4765.326030132541
True,0%,Aus then UK 70%,240.26859585793807,-106.2649649933783,59.66377306409648,6441.866711674849
True,0%,Aus then UK 90%,192.8304375633324,-252.0495621975172,-41.23846901645989,8151.993228793281
True,0%,Aus then UK mandatory,168.79404755806186,-325.14285971223694,-88.02212335143662,9052.522086141042
True,0%,Australia 50%,332.14753808592303,220.3228215394676,293.54412610157965,2218.255308515837
True,0%,Australia 70%,303.31711518559746,144.84758916414174,247.92920118476087,2933.196869099544
True,0%,Australia 90%,273.7459188086644,69.89267335055936,203.43034466880724,3649.006375258056
True,0%,Australia mandatory,258.8167324892148,32.65051978138098,180.60197029742977,4010.701163681764
True,0%,BAU,2256767.9401190192,4748834.222430339,2492066.2823113203,18791005.24367035
True,0%,KCl subsitute (10%) all foods,193.30656319278944,-395.61349539730224,-277.1697474748779,9897.606199414968
True,0%,KCl subsitute (30%) envelope,-1567.2423898793104,-3314.6227594078573,-1753.4464382451165,26026.6222043355
True,0%,KCl subsitute (4.5%) discretionary,146.6616205862486,-153.33608165003034,12.139654856121153,5009.762731675195
True,0%,No change,0.0,0.0,0.0,0.0
True,0%,UK 50%,243.13422124279944,15.2789626225667,175.28342331339405,4792.132164746253
True,0%,UK 70%,178.30948486390184,-141.89655922998762,81.079101131112,6542.02134909514
True,0%,UK 90%,115.19035146703392,-297.2218983371903,-12.20796123191595,8252.660346288132
True,0%,UK mandatory,84.51803802247755,-374.382107359158,-59.26250508995858,9142.485199904098
True,0%,UK mass media campaign,8.434522050965736,2.1242119636902643,22.53489403578225,55.89128201505204
True,0%,UK salt reduction program,352.68319640523936,215.8576607856241,298.08139240638747,2584.746120613602
True,0%,Who mandatory,-127.24830783339918,-981.0313704502578,-446.32106563258174,13216.325774746972
True,3%,Aus then UK 50%,23.183091913335197,-133.52826068268644,-40.63485174800288,476.9072583228893
True,3%,Aus then UK 70%,-14.37648451838077,-234.21158775707516,-103.10573724520576,618.2891076412253
True,3%,Aus then UK 90%,-51.82372380827245,-333.8089435046096,-165.97538645008387,754.8023975609588
True,3%,Aus then UK mandatory,-70.87222042139479,-383.2557846042742,-196.18266237627807,820.2776324243598
True,3%,Australia 50%,58.34423060118149,-13.970033583279932,45.39974570670802,242.25874183291708
True,3%,Australia 70%,34.80473792555508,-66.27928346463072,15.94826285399503,287.5957209177274
True,3%,Australia 90%,11.538243322850805,-118.69604935437982,-13.59790887465902,339.74462029017997
True,3%,Australia mandatory,-0.7094114404114283,-146.6922671689674,-28.149954314962116,361.02764595533773
True,3%,BAU,1910203.1255575062,3467692.1087954273,1557488.98323792,7954814.397683556
True,3%,KCl subsitute (10%) all foods,-6.906327689480662,-374.7630584284579,-284.7635238191749,780.395614707143
True,3%,KCl subsitute (30%) envelope,-1291.838069418818,-2406.61290798602,-1115.9732634087957,1289.9130679511302
True,3%,KCl subsitute (4.5%) discretionary,-45.835829288508585,-239.58899107159354,-107.75323899706434,407.0893837307675
True,3%,No change,0.0,0.0,0.0,0.0
True,3%,UK 50%,-12.57553560221,-160.99069666258845,-32.08395627535572,473.9933479294321
True,3%,UK 70%,-62.29721027129195,-271.04002116377416,-91.33285830526262,612.4900889537639
True,3%,UK 90%,-113.13158400687604,-382.0450186073716,-151.41140397004193,754.9107486505973
True,3%,UK mandatory,-138.68814168334052,-435.1235818552648,-180.5289355862168,818.8444573199982
True,3%,UK mass media campaign,9.981624309259663,5.314544353502762,21.51659092950657,23.41548991936538
True,3%,UK salt reduction program,77.13164845797394,-9.515413055472333,57.774337901741006,281.5196437735145
True,3%,Who mandatory,-312.15261289273917,-854.4176992674145,-425.3259118117378,928.556272964521
