Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,3%,Australia 70%,115 (26 to 253),-77 (-231 to 93),37 (-78 to 191),-5.6 (-388 to 461)
False,3%,Australia 50%,113 (43 to 216),-25 (-141 to 101),55 (-32 to 171),27 (-249 to 371)
False,3%,Aus then UK mandatory,132 (33 to 206),-447 (-795 to -158),-195 (-454 to 31),"-152 (-1,310 to 1,370)"
False,3%,Aus then UK 90%,129 (42 to 196),-395 (-705 to -136),-167 (-401 to 37),"-126 (-1,150 to 1,230)"
False,3%,Aus then UK 70%,123 (57 to 175),-284 (-537 to -82),-107 (-295 to 50),-73 (-875 to 989)
False,3%,Aus then UK 50%,118 (69 to 155),-173 (-348 to -29),-46 (-179 to 66),-21 (-592 to 746)
False,3%,KCl subsitute (30%) envelope,"-1,940 (-2,660 to -1,370)","-4,350 (-6,030 to -2,930)","-2,390 (-3,450 to -1,540)","-4,210 (-8,770 to 685)"
False,3%,KCl subsitute (10%) all foods,"1,940 (822 to 4,320)","1,290 (164 to 3,610)","1,410 (294 to 3,740)","1,310 (-409 to 4,060)"
False,3%,KCl subsitute (4.5%) discretionary,"919 (377 to 2,170)","558 (-54 to 1,840)","731 (158 to 2,000)","629 (-347 to 2,170)"
False,3%,UK mandatory,41 (-180 to 342),"-547 (-1,000 to -110)",-190 (-522 to 179),"-205 (-1,440 to 1,440)"
False,3%,UK 90%,46 (-153 to 311),-482 (-896 to -88),-163 (-462 to 174),"-177 (-1,290 to 1,350)"
False,3%,UK 70%,59 (-98 to 266),-353 (-675 to -46),-104 (-336 to 157),"-114 (-990 to 1,060)"
False,3%,UK 50%,72 (-42 to 227),-222 (-457 to 0),-44 (-215 to 143),-52 (-671 to 793)
False,3%,UK mass media campaign,0.19 (-21 to 17),-17 (-54 to 8.0),6.2 (-12 to 21),-4.8 (-36 to 16)
False,3%,UK salt reduction program,318 (158 to 605),145 (-51 to 448),242 (67 to 541),169 (-217 to 680)
False,3%,Who mandatory,3.5 (-368 to 599),"-1,020 (-1,790 to -285)","-427 (-1,000 to 230)","-758 (-2,810 to 1,570)"
False,3%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
True,0%,BAU,-3608639.45774627,-6880071.986067074,-3271432.5283208047,-8301405.263017694
True,0%,Australia mandatory,393.8799693672432,-101.29629090479249,128.08967724136014,2570.3420800382173
True,0%,Australia 90%,394.9353047598888,-50.37490265951416,156.973688630558,2379.9733176712007
True,0%,Australia 70%,398.1700043948059,51.72498244196946,213.2421874475614,1945.3439374058607
True,0%,Australia 50%,400.2888996184234,154.08567135965149,267.78129019018434,1515.733164718823
True,0%,Aus then UK mandatory,394.0568775033293,-655.8076253005895,-292.1230494810045,5897.4444877742335
True,0%,Aus then UK 90%,394.15148504795377,-550.1381298978313,-224.28257800175464,5363.078302451806
True,0%,Aus then UK 70%,397.3155462511268,-338.420522024386,-82.91504931620484,4262.853191104976
True,0%,Aus then UK 50%,399.7884561680225,-127.33740998885628,56.57919380717847,3149.4232531500797
True,0%,KCl subsitute (30%) envelope,-2685.072603796558,-7022.619224586311,-4305.82178560881,10608.830733748217
True,0%,KCl subsitute (10%) all foods,9504.89262453753,8293.831887366476,8473.909584549834,15035.690693675491
True,0%,KCl subsitute (4.5%) discretionary,4422.899315042465,3727.346561707398,3980.362563177904,7272.99907097331
True,0%,UK mandatory,256.8938352577993,-799.3183196217733,-296.21600662600065,5892.094880135337
True,0%,UK 90%,273.4770648162746,-681.9795573972856,-226.12459886137705,5336.038909486376
True,0%,UK 70%,303.4569531075905,-438.4649731528036,-87.75200441750695,4274.20002500322
True,0%,UK 50%,333.6249243220024,-198.7917342308768,57.22556001283846,3185.1291351711147
True,0%,UK mass media campaign,-3.859708560326292,-33.673552445704075,-0.3945029022386409,11.826671645714487
True,0%,UK salt reduction program,653.9494324642752,339.13793747888764,478.110670903023,1846.3698720347545
True,0%,Who mandatory,157.9021106175706,-1692.924425611392,-849.7024969820977,7549.915013623939
True,0%,No change,0.0,0.0,0.0,0.0
True,3%,BAU,-2719115.340414717,-4536356.703683948,-1817241.363269232,-7396854.9956060015
True,3%,Australia mandatory,118.13344645497284,-152.79530175196328,8.153091285694748,-51.65700064105767
True,3%,Australia 90%,116.64612124640888,-128.1720172047368,18.87359973225712,-39.11841039092904
True,3%,Australia 70%,114.78918674493656,-76.79742664677926,37.340217187790174,-5.5894402767452895
True,3%,Australia 50%,112.74409232100938,-24.71921885666316,55.30860048970463,26.96994881701538
True,3%,Aus then UK mandatory,132.4090576120076,-447.15253363241095,-195.30780285070665,-151.60940268443204
True,3%,Aus then UK 90%,128.86187150911732,-395.422598822572,-166.68153933852594,-125.89828120834052
True,3%,Aus then UK 70%,123.30773828029318,-283.63682627479386,-106.82862269482604,-72.57108779191596
True,3%,Aus then UK 50%,117.68888478898684,-173.2829285294355,-46.23845249726102,-20.766690787017943
True,3%,KCl subsitute (30%) envelope,-1939.9950027843104,-4350.932850168394,-2390.117879159195,-4205.760845867198
True,3%,KCl subsitute (10%) all foods,1943.77577394732,1294.9090799522874,1413.623698091542,1312.41742972257
True,3%,KCl subsitute (4.5%) discretionary,918.8096024012256,557.557204280122,730.7712121634893,629.0561464658056
True,3%,UK mandatory,40.886453470210895,-546.7389847481243,-190.23152390620535,-204.6127763623723
True,3%,UK 90%,45.65660485598266,-482.1637129948247,-162.66536540472842,-177.09652421003366
True,3%,UK 70%,59.18247238403093,-352.62043071671326,-103.70805093005804,-113.67633008209005
True,3%,UK 50%,71.50305137315326,-221.9207442662137,-44.03727412942258,-52.02303848524147
True,3%,UK mass media campaign,0.190133527239894,-17.09703872261885,6.233565523736074,-4.83980545969343
True,3%,UK salt reduction program,318.0518424837576,145.0363698827338,242.0345035448892,169.38233946829604
True,3%,Who mandatory,3.464217611274287,-1023.564966334859,-426.97792980176905,-758.0395437254331
True,3%,No change,0.0,0.0,0.0,0.0
