Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,3%,UK mass media campaign,0.67 (-45 to 109),-16 (-32 to 13),7.6 (-10.0 to 46),-2.5 (-14 to 14)
False,3%,UK salt reduction program,237 (101 to 493),22 (-7.7 to 75),48 (12 to 117),4.4 (-6.3 to 16)
False,3%,Who mandatory,0.54 (-45 to 96),-27 (-44 to -8.3),-14 (-30 to 7.8),-3.5 (-14 to 6.1)
True,0%,Aus then UK 50%,195.0507152671149,-6.968688581801304,3.374246989189293,9.761446174873672
True,0%,Aus then UK 70%,138.32454953326413,-13.629329329045628,-3.696515198736504,9.371708036633098
True,0%,Aus then UK 90%,107.62161910731466,-17.138631525300667,-7.851298433527228,9.19599283458946
True,0%,Aus then UK mandatory,96.86343154683938,-18.44329417749486,-9.24894149800542,9.120145928423746
True,0%,Australia 50%,284.91398298234606,16.173586987147637,33.47153240353206,10.322268821895094
True,0%,Australia 70%,204.3126844836532,4.051129313031672,19.043017881684264,9.49468513580592
True,0%,Australia 90%,156.5093948803371,-2.872024633309567,10.85284581295588,9.11309364916874
True,0%,Australia mandatory,140.51483756754493,-5.377003920648714,8.019055355093798,8.8702942092481
True,0%,BAU,-17.670078994816762,-17.762068078503468,-17.856680740504984,-7.734879972450569
True,0%,KCl subsitute (10%) all foods,466.47446080925226,-14.408557020486736,-8.485256016213071,8.01406197526675
True,0%,KCl subsitute (30%) envelope,-19.648786505258112,-28.6884683959188,-16.69758657150235,5.8923093135511895
True,0%,KCl subsitute (4.5%) discretionary,123.2605225838666,-14.372372925497256,-3.3766028769437546,7.830131700618869
True,0%,No change,0.0,0.0,0.0,0.0
True,0%,UK 50%,104.0841966151236,-9.31625385020454,3.0028541828157005,9.572802522846704
True,0%,UK 70%,68.45495574514175,-14.859255508715398,-3.4539037899802665,9.190000170691896
True,0%,UK 90%,48.2776855990866,-17.837750764561168,-6.890860829071265,8.988590209120943
True,0%,UK mandatory,41.26489647673392,-18.96582972839229,-8.189177138760584,8.884234680880603
True,0%,UK mass media campaign,-9.617428911509649,-17.938172165935125,-0.277197559762955,2.633502322752713
True,0%,UK salt reduction program,339.12655863620864,29.52613506587026,50.16465069777036,10.421063534125002
True,0%,Who mandatory,15.965979698330344,-25.31426836054465,-14.941787355000528,7.229108365554591
True,3%,Aus then UK 50%,83.07234182778863,-17.454260394457116,-5.394575856509576,-0.2946769775874811
True,3%,Aus then UK 70%,62.87034439058281,-20.39104428219108,-8.819411226131812,-0.7809203624226604
True,3%,Aus then UK 90%,50.88953814949824,-22.009692849856467,-10.766157743483053,-1.0155271606071594
True,3%,Aus then UK mandatory,47.703531103110976,-22.61854580219844,-11.448096404973718,-1.1504069681082856
True,3%,Australia 50%,115.89784377551136,-4.790904008159407,12.976926395272512,0.8728354733049748
True,3%,Australia 70%,85.4229461945182,-10.310961294354048,6.283556453142543,-0.13738408775253
True,3%,Australia 90%,67.20659517910477,-13.292990116237249,2.3964167775008773,-0.6500107513854965
True,3%,Australia mandatory,60.97262983836888,-14.401336324628875,0.9704165728116962,-0.8880416226423266
True,3%,BAU,-17.672508543643925,-17.743026821829822,-17.84140232751148,-14.523198911599458
True,3%,KCl subsitute (10%) all foods,80.28676620621982,-36.23385835476259,-30.44283086556829,-3.9790476846298217
True,3%,KCl subsitute (30%) envelope,-56.54162534272278,-38.31634750806511,-24.99004324985361,-7.466275608096994
True,3%,KCl subsitute (4.5%) discretionary,-16.749554254340136,-32.71620950609572,-21.559422800497515,-4.598194465088659
True,3%,No change,0.0,0.0,0.0,0.0
True,3%,UK 50%,32.484648231980856,-18.40837890965838,-4.464363732009316,-0.7056446679752266
True,3%,UK 70%,19.39613393663064,-20.99932096462236,-7.359146385529614,-1.1219157429619655
True,3%,UK 90%,11.99751128912854,-22.326816134564428,-9.094703474380353,-1.411732056396664
True,3%,UK mandatory,9.42556088333706,-22.88563374030027,-9.703176376503,-1.4604175931655212
True,3%,UK mass media campaign,0.67106335384114,-15.656217068601126,7.641889912847246,-2.479126228966533
True,3%,UK salt reduction program,236.910376450037,22.48099431926626,47.74759335700234,4.442980363215188
True,3%,Who mandatory,0.5365469925548738,-26.89097550083932,-13.676426168258288,-3.484144563319302
