Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,KCl subsitute (30%) envelope,"-5,920 (-8,990 to -3,730)","-17,400 (-26,200 to -11,100)","-11,500 (-17,200 to -7,310)",0.0000000000132 (-0.000000000648 to 0.000000000668)
False,0%,KCl subsitute (4.5%) discretionary,"-657 (-1,040 to -393)","-2,660 (-4,040 to -1,650)","-2,000 (-3,060 to -1,250)",0.0000000000102 (-0.000000000669 to 0.000000000644)
False,0%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,0%,UK 50%,"-693 (-1,160 to -420)","-2,510 (-4,040 to -1,550)","-1,820 (-2,900 to -1,120)",0.0000000000174 (-0.000000000644 to 0.000000000648)
False,0%,UK 70%,"-966 (-1,600 to -587)","-3,510 (-5,660 to -2,180)","-2,540 (-4,030 to -1,570)",0.0000000000214 (-0.000000000662 to 0.000000000714)
False,0%,UK 90%,"-1,240 (-2,050 to -754)","-4,490 (-7,200 to -2,790)","-3,260 (-5,150 to -2,020)",0.0000000000241 (-0.000000000653 to 0.000000000704)
False,0%,UK mandatory,"-1,370 (-2,270 to -841)","-4,980 (-8,030 to -3,110)","-3,610 (-5,760 to -2,260)",0.0000000000108 (-0.000000000654 to 0.000000000658)
False,0%,UK mass media campaign,-80.2 (-159 to -37.5),-140 (-269 to -68.6),-59.6 (-120 to -27.4),0.00000000000427 (-0.000000000621 to 0.000000000635)
False,0%,UK salt reduction program,-335 (-526 to -211),"-1,260 (-1,970 to -798)","-927 (-1,440 to -588)",0.00000000000173 (-0.000000000670 to 0.000000000697)
False,0%,Who mandatory,"-2,110 (-3,280 to -1,300)","-7,740 (-11,900 to -4,870)","-5,630 (-8,650 to -3,550)",0.0000000000147 (-0.000000000663 to 0.000000000665)
False,3%,Aus then UK 50%,-386 (-632 to -237),"-1,500 (-2,430 to -932)","-1,120 (-1,800 to -691)","-2,490 (-3,960 to -1,570)"
False,3%,Aus then UK 70%,-539 (-881 to -334),"-2,100 (-3,400 to -1,290)","-1,560 (-2,520 to -950)","-3,490 (-5,520 to -2,190)"
False,3%,Aus then UK 90%,"-689 (-1,140 to -423)","-2,700 (-4,320 to -1,680)","-2,010 (-3,220 to -1,240)","-4,460 (-7,050 to -2,810)"
False,3%,Aus then UK mandatory,"-767 (-1,250 to -467)","-2,990 (-4,810 to -1,850)","-2,220 (-3,560 to -1,380)","-4,940 (-7,840 to -3,130)"
False,3%,Australia 50%,-234 (-377 to -145),"-724 (-1,150 to -452)",-490 (-763 to -307),"-1,130 (-1,770 to -720)"
False,3%,Australia 70%,-327 (-526 to -199),"-1,010 (-1,590 to -631)","-681 (-1,060 to -428)","-1,580 (-2,450 to -1,010)"
False,3%,Australia 90%,-418 (-686 to -257),"-1,300 (-2,060 to -813)","-880 (-1,390 to -549)","-2,040 (-3,190 to -1,290)"
False,3%,Australia mandatory,-467 (-750 to -287),"-1,450 (-2,280 to -909)","-976 (-1,530 to -618)","-2,260 (-3,520 to -1,440)"
False,3%,BAU,"1,390,000 (1,300,000 to 1,480,000)","2,750,000 (2,610,000 to 2,890,000)","1,360,000 (1,310,000 to 1,410,000)","8,080,000 (7,870,000 to 8,290,000)"
False,3%,KCl subsitute (10%) all foods,-346 (-562 to -211),"-2,610 (-4,090 to -1,600)","-2,260 (-3,540 to -1,390)","-5,360 (-8,130 to -3,400)"
False,3%,KCl subsitute (30%) envelope,"-4,810 (-7,290 to -3,030)","-12,000 (-18,100 to -7,630)","-7,160 (-10,700 to -4,560)","-17,400 (-25,900 to -11,100)"
False,3%,KCl subsitute (4.5%) discretionary,-515 (-812 to -308),"-1,760 (-2,680 to -1,090)","-1,240 (-1,900 to -776)","-2,850 (-4,340 to -1,810)"
False,3%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,3%,UK 50%,-549 (-919 to -333),"-1,680 (-2,700 to -1,040)","-1,130 (-1,810 to -699)","-2,600 (-4,150 to -1,630)"
False,3%,UK 70%,"-766 (-1,270 to -465)","-2,350 (-3,800 to -1,460)","-1,580 (-2,510 to -977)","-3,620 (-5,750 to -2,280)"
False,3%,UK 90%,"-981 (-1,630 to -597)","-3,000 (-4,840 to -1,860)","-2,030 (-3,210 to -1,260)","-4,640 (-7,380 to -2,920)"
False,3%,UK mandatory,"-1,080 (-1,800 to -666)","-3,330 (-5,370 to -2,070)","-2,250 (-3,590 to -1,400)","-5,150 (-8,170 to -3,240)"
False,3%,UK mass media campaign,-63.7 (-126 to -29.7),-105 (-202 to -50.8),-40.7 (-80.8 to -19.0),-64.1 (-120 to -31.1)
False,3%,UK salt reduction program,-268 (-419 to -169),"-846 (-1,320 to -536)",-576 (-899 to -365),"-1,360 (-2,090 to -872)"
False,3%,Who mandatory,"-1,670 (-2,610 to -1,030)","-5,170 (-7,990 to -3,240)","-3,500 (-5,390 to -2,200)","-8,110 (-12,400 to -5,110)"
True,0%,Aus then UK 50%,-494.36272827054046,-2292.557626437484,-1798.9917608869496,1.8246737454319373e-11
True,0%,Aus then UK 70%,-689.7882229976169,-3208.0249576003466,-2516.483249535501,5.002220859751105e-12
True,0%,Aus then UK 90%,-881.9659402867728,-4116.434774576805,-3228.976287752272,5.2295945351943366e-12
True,0%,Aus then UK mandatory,-980.7500839274526,-4567.6414288640935,-3573.9410440898578,1.3301360013429075e-11
True,0%,Australia 50%,-295.8053738915987,-1084.142958018734,-788.102827848471,-5.641709321935196e-12
True,0%,Australia 70%,-412.2008309149247,-1512.4583674098817,-1095.1347100079408,3.751665644813329e-12
True,0%,Australia 90%,-527.8988245681478,-1943.6046773543956,-1412.0665869036816,1.7280399333685637e-11
True,0%,Australia mandatory,-589.1794844726296,-2164.410882414077,-1568.8872285042075,8.185452315956354e-12
True,0%,BAU,1650669.3586283503,3841965.77067998,2191296.4120516297,25662358.213757247
True,0%,KCl subsitute (10%) all foods,-449.209094064422,-4137.475357417121,-3686.8287492783393,1.5234036254696548e-11
True,0%,KCl subsitute (30%) envelope,-5922.454352245323,-17412.2642235265,-11482.937085011006,1.318767317570746e-11
True,0%,KCl subsitute (4.5%) discretionary,-657.4439087370611,-2664.6533843231337,-2000.7342614544605,1.0231815394945444e-11
True,0%,No change,0.0,0.0,0.0,0.0
True,0%,UK 50%,-692.5763723777453,-2511.4365569049623,-1822.1126797005247,1.736566446197685e-11
True,0%,UK 70%,-966.472094722312,-3510.4090918868005,-2537.6096637514315,2.1429968910524618e-11
True,0%,UK 90%,-1238.7693086490126,-4488.116214708578,-3258.1430495519403,2.4101609596982598e-11
True,0%,UK mandatory,-1370.268980037613,-4981.989543930942,-3609.736767644244,1.0800249583553524e-11
True,0%,UK mass media campaign,-80.21087041815218,-140.31880180763963,-59.59985682867665,4.274580689411778e-12
True,0%,UK salt reduction program,-334.6127668708348,-1262.9244863083477,-927.41714590288,1.7337242752546445e-12
True,0%,Who mandatory,-2108.6496724626613,-7735.798533299043,-5632.81641681814,1.4665602066088468e-11
True,3%,Aus then UK 50%,-386.18211740151315,-1504.9939494979526,-1118.5329763397665,-2490.2660735651975
True,3%,Aus then UK 70%,-538.976426335008,-2104.6613044483747,-1563.5982375114222,-3485.1362341374643
True,3%,Aus then UK 90%,-689.1486944878318,-2698.920153068484,-2006.861440692281,-4463.346021789915
True,3%,Aus then UK mandatory,-766.9604296016815,-2992.643898464137,-2220.7744567663103,-4938.06625372197
True,3%,Australia 50%,-234.08633835744175,-724.0371688287204,-490.4690855893063,-1132.4944713645061
True,3%,Australia 70%,-326.5675467175894,-1010.6009470611197,-681.2993271051037,-1580.0610999275223
True,3%,Australia 90%,-417.7752582057944,-1296.8270470799357,-879.651583784292,-2036.6223214104643
True,3%,Australia mandatory,-466.5036103705631,-1447.2129412699085,-976.4410529464037,-2262.343710952288
True,3%,BAU,1392585.255532375,2753093.271430578,1360508.0158982028,8083907.294456895
True,3%,KCl subsitute (10%) all foods,-345.6730126166068,-2605.990219530911,-2260.2999510476516,-5357.461482900256
True,3%,KCl subsitute (30%) envelope,-4813.612038130942,-11980.167978842721,-7156.327617200461,-17432.861413583363
True,3%,KCl subsitute (4.5%) discretionary,-514.580600751567,-1762.8499455462877,-1243.612835560506,-2852.884089839176
True,3%,No change,0.0,0.0,0.0,0.0
True,3%,UK 50%,-548.5529152889127,-1682.9581529140623,-1134.8204361275084,-2601.6642942921258
True,3%,UK 70%,-765.5893190339837,-2351.760801840994,-1580.4608976430484,-3622.607450890362
True,3%,UK 90%,-981.4779777685379,-3004.772799815576,-2028.4971770706163,-4638.83985305374
True,3%,UK mandatory,-1084.7679890119857,-3330.545991643412,-2246.558950587925,-5146.739026663248
True,3%,UK mass media campaign,-63.71215375395583,-104.74377712095527,-40.685708637635386,-64.14354592605741
True,3%,UK salt reduction program,-267.53025782363926,-845.8180208102397,-576.4056940426283,-1355.9816892963424
True,3%,Who mandatory,-1670.9356890292663,-5173.647960213705,-3503.3694431347585,-8112.551028259876
